name,category,price,quantity
item-001,display,1025,2
item-002,accessory,1050,3
item-003,input,1075,4
item-004,display,1100,5
item-005,accessory,1125,6
item-006,input,1150,7
item-007,display,1175,1
item-008,accessory,1200,2
item-009,input,1225,3
item-010,display,1250,4
item-011,accessory,1275,5
item-012,input,1300,6
item-013,display,1325,7
item-014,accessory,1350,1
item-015,input,1375,2
item-016,display,1400,3
item-017,accessory,1425,4
item-018,input,1450,5
item-019,display,1475,6
item-020,accessory,1500,7
item-021,input,1525,1
item-022,display,1550,2
item-023,accessory,1575,3
item-024,input,1600,4
item-025,display,1625,5
item-026,accessory,1650,6
item-027,input,1675,7
item-028,display,1700,1
item-029,accessory,1725,2
item-030,input,1750,3
item-031,display,1775,4
item-032,accessory,1800,5
item-033,input,1825,6
item-034,display,1850,7
item-035,accessory,1875,1
item-036,input,1900,2
item-037,display,1925,3
item-038,accessory,1950,4
item-039,input,1975,5
item-040,display,2000,6
item-041,accessory,2025,7
item-042,input,2050,1
item-043,display,2075,2
item-044,accessory,2100,3
item-045,input,2125,4
item-046,display,2150,5
item-047,accessory,2175,6
item-048,input,2200,7
item-049,display,2225,1
item-050,accessory,2250,2
item-051,input,2275,3
item-052,display,2300,4
item-053,accessory,2325,5
item-054,input,2350,6
item-055,display,2375,7
item-056,accessory,2400,1
item-057,input,invalid,2
item-058,display,2450,3
item-059,accessory,2475,4
item-060,input,2500,5
item-061,display,2525,6
item-062,accessory,2550,7
item-063,input,2575,1
item-064,display,2600,2
item-065,accessory,2625,3
item-066,input,2650,4
item-067,display,2675,5
item-068,accessory,2700,6
item-069,input,2725,7
item-070,display,2750,1
item-071,accessory,2775,2
item-072,input,2800,3
item-073,display,2825,4
item-074,accessory,2850,5
item-075,input,2875,6
item-076,display,2900,7
item-077,accessory,2925,1
item-078,input,2950,2
item-079,display,2975,3
item-080,accessory,3000,4
item-081,input,3025,5
item-082,display,3050,6
item-083,accessory,3075,7
item-084,input,3100,1
item-085,display,3125,2
item-086,accessory,3150,3
item-087,input,3175,4
item-088,display,3200,
item-089,accessory,3225,6
item-090,input,3250,7
item-091,display,3275,1
item-092,accessory,3300,2
item-093,input,3325,3
item-094,display,3350,4
item-095,accessory,3375,5
item-096,input,3400,6
item-097,display,3425,7
item-098,accessory,3450,1
item-099,input,3475,2
item-100,display,3500,3
item-101,accessory,3525,4
item-102,input,3550,5
item-103,display,3575,6
item-104,accessory,3600,7
item-105,input,3625,1
item-106,display,3650,2
item-107,accessory,3675,3
item-108,input,3700,4
item-109,display,3725,5
item-110,accessory,3750,6
item-111,input,3775,7
item-112,display,3800,1
item-113,accessory,3825,2
item-114,input,3850,3
item-115,display,3875,4
item-116,accessory,3900,5
item-117,input,3925,6
item-118,display,3950,7
item-119,accessory,3975,1
item-120,input,4000,2
item-121,display,4025,3
item-122,accessory,4050,4
item-123,input,4075,5
item-124,display,4100,6
item-125,accessory,4125,7
item-126,input,4150,1
item-127,display,4175,2
item-128,accessory,4200,3
item-129,input,4225,4
item-130,display,4250,5
item-131,accessory,4275,6
item-132,input,4300,7
item-133,display,4325,1
item-134,accessory,4350,2
item-135,input,4375,3
item-136,display,4400,4
item-137,accessory,4425,5
item-138,input,4450,6
item-139,display,4475,7
item-140,accessory,4500,1
item-141,input,4525,2
item-142,display,4550,3
item-143,accessory,4575,4
item-144,input,invalid,5
item-145,display,4625,6
item-146,accessory,4650,7
item-147,input,4675,1
item-148,display,4700,2
item-149,accessory,4725,3
item-150,input,4750,4
item-151,display,4775,5
item-152,accessory,4800,6
item-153,input,4825,7
item-154,display,4850,1
item-155,accessory,4875,2
item-156,input,4900,3
item-157,display,4925,4
item-158,accessory,4950,5
item-159,input,4975,6
item-160,display,5000,7
item-161,accessory,5025,1
item-162,input,5050,2
item-163,display,5075,3
item-164,accessory,5100,4
item-165,input,5125,5
item-166,display,5150,6
item-167,accessory,5175,7
item-168,input,5200,1
item-169,display,5225,2
item-170,accessory,5250,3
item-171,input,5275,4
item-172,display,5300,5
item-173,accessory,5325,6
item-174,input,5350,7
item-175,display,5375,1
item-176,accessory,5400,2
item-177,input,5425,
item-178,display,5450,4
item-179,accessory,5475,5
item-180,input,5500,6
item-181,display,5525,7
item-182,accessory,5550,1
item-183,input,5575,2
item-184,display,5600,3
item-185,accessory,5625,4
item-186,input,5650,5
item-187,display,5675,6
item-188,accessory,5700,7
item-189,input,5725,1
item-190,display,5750,2
item-191,accessory,5775,3
item-192,input,5800,4
item-193,display,5825,5
item-194,accessory,5850,6
item-195,input,5875,7
item-196,display,5900,1
item-197,accessory,5925,2
item-198,input,5950,3
item-199,display,5975,4
item-200,accessory,6000,5
